kind,idx,failed_u,failed_v,outages,avg_delta_pmus,max_delta_pmus,avg_cov_fixed,avg_cov_reopt,is_critical
line,195,124,125,50,0.5,3,99.51333333333334,100.0,True
line,196,130,131,50,0.5,3,99.18,100.0,True
line,197,131,139,50,0.5,3,99.51333333333334,100.0,True
line,198,132,134,50,0.48,3,99.51333333333334,100.0,True
line,199,132,161,50,0.46,3,99.51333333333334,100.0,True
line,200,133,139,50,0.46,3,99.51333333333334,100.0,True
line,201,135,137,50,0.48,3,99.51333333333334,100.0,True
line,202,136,137,50,0.52,3,99.51333333333334,100.0,True
line,203,136,138,50,0.52,3,99.51333333333334,100.0,True
line,204,140,142,50,0.5,3,99.51333333333334,100.0,True
line,205,140,143,50,0.46,3,99.18,100.0,True
line,206,141,142,50,0.5,3,99.51333333333334,100.0,True
line,207,143,144,50,0.48,3,99.51333333333334,100.0,True
line,208,145,147,50,0.46,3,99.51333333333334,100.0,True
line,209,150,151,50,0.48,3,99.50666666666666,100.0,True
line,210,150,152,50,0.46,3,99.51333333333334,100.0,True
line,211,151,152,50,2.3,5,99.18,100.0,True
line,212,151,153,50,2.3,5,99.18,100.0,True
line,213,151,154,50,2.3,5,99.18,100.0,True
line,214,153,154,50,0.46,3,99.51333333333334,100.0,True
line,215,153,157,50,0.46,3,99.51333333333334,100.0,True
line,216,154,155,50,0.46,3,99.51333333333334,100.0,True
line,217,155,156,50,1.48,4,99.18,100.0,True
line,218,156,157,50,1.44,4,99.18,100.0,True
line,219,156,158,50,1.46,4,99.18666666666667,100.0,True
line,220,159,116,50,0.46,3,99.2,100.0,True
line,221,159,165,50,0.46,3,99.18,100.0,True
line,222,162,163,50,0.48,3,99.18,100.0,True
line,223,164,166,50,0.46,3,99.51333333333334,100.0,True
line,224,165,166,50,0.54,3,99.51333333333334,100.0,True
line,225,166,116,50,0.54,3,99.51333333333334,100.0,True
line,226,167,186,50,0.56,4,99.51333333333334,100.0,True
line,227,167,187,50,0.48,3,99.18,100.0,True
line,228,168,209,50,-0.38,1,99.51333333333334,100.0,False
line,229,169,170,50,0.5,3,99.51333333333334,100.0,True
line,230,170,203,50,-0.28,2,99.18666666666667,100.0,False
line,231,171,183,50,0.46,3,99.51333333333334,100.0,True
line,232,171,186,50,0.48,3,99.18,100.0,True
line,233,172,197,50,0.48,3,99.51333333333334,100.0,True
line,234,172,241,50,0.48,3,99.18666666666667,100.0,True
line,235,173,197,50,0.48,3,99.51333333333334,100.0,True
line,236,174,175,50,0.46,3,99.51333333333334,100.0,True
line,237,174,188,50,1.26,3,99.18,100.0,True
line,238,175,176,50,0.36,2,99.51333333333334,100.0,True
line,239,175,189,50,1.94,4,99.18,100.0,True
line,240,176,181,50,0.36,2,99.51333333333334,100.0,True
line,241,176,188,50,0.36,2,99.51333333333334,100.0,True
line,242,176,189,50,0.46,3,99.51333333333334,100.0,True
line,243,177,178,50,0.5,3,99.51333333333334,100.0,True
line,244,177,188,50,1.26,3,99.18,100.0,True
line,245,178,188,50,1.26,3,99.19333333333334,100.0,True
line,246,179,182,50,1.36,3,99.18666666666667,100.0,True
line,247,181,189,50,1.88,4,99.18,100.0,True
line,248,182,183,50,1.28,3,99.19333333333334,100.0,True
line,249,183,184,50,0.48,3,99.51333333333334,100.0,True
line,250,184,185,50,0.46,3,99.51333333333334,100.0,True
line,251,184,186,50,0.58,4,99.18,100.0,True
line,252,190,193,50,0.46,3,99.51333333333334,100.0,True
line,253,192,193,50,1.2,3,99.18,100.0,True
line,254,192,220,50,0.46,3,99.50666666666666,100.0,True
line,255,193,194,50,0.46,3,99.51333333333334,100.0,True
line,256,194,195,50,-0.34,1,99.18,100.0,False
line,257,195,196,50,-0.34,1,99.50666666666666,100.0,False
line,258,195,198,50,-0.3,2,99.51333333333334,100.0,False
line,259,197,215,50,0.48,3,99.51333333333334,100.0,True
line,260,198,196,50,0.42,3,99.51333333333334,100.0,True
line,261,198,199,50,-0.4,2,99.51333333333334,100.0,False
line,262,198,216,50,-0.4,2,99.51333333333334,100.0,False
line,263,199,201,50,0.56,3,99.18,100.0,True
line,264,202,203,50,-0.3,2,99.18,100.0,False
line,265,202,204,50,0.46,3,99.51333333333334,100.0,True
line,266,203,169,50,-0.28,2,99.18666666666667,100.0,False
line,267,206,207,50,0.46,3,99.51333333333334,100.0,True
line,268,206,212,50,0.38,3,99.51333333333334,100.0,True
line,269,209,215,50,-0.34,1,99.51333333333334,100.0,False
line,270,212,213,50,-0.34,2,99.51333333333334,100.0,False
line,271,213,216,50,0.5,3,99.51333333333334,100.0,True
line,272,218,229,50,0.48,3,99.18666666666667,100.0,True
line,273,221,222,50,0.5,3,99.18,100.0,True
line,274,221,223,50,0.46,3,99.51333333333334,100.0,True
line,275,222,224,50,0.46,3,99.51333333333334,100.0,True
line,276,223,224,50,0.46,3,99.18666666666667,100.0,True
line,277,223,225,50,0.46,3,99.18,100.0,True
line,278,224,225,50,0.48,3,99.51333333333334,100.0,True
line,279,225,226,50,0.46,3,99.51333333333334,100.0,True
line,280,226,227,50,1.3,3,99.18,100.0,True
line,281,227,228,50,1.46,4,99.18,100.0,True
line,282,174,245,50,0.46,3,99.51333333333334,100.0,True
trafo,0,30,265,50,0.44,3,99.51333333333334,100.0,True
trafo,1,265,270,50,0.46,3,99.51333333333334,100.0,True
trafo,2,265,272,50,0.46,3,99.51333333333334,100.0,True
trafo,3,269,291,50,1.42,4,99.19333333333334,100.0,True
trafo,4,269,292,50,1.46,4,99.18,100.0,True
trafo,5,269,293,50,0.5,3,99.51333333333334,100.0,True
trafo,6,269,294,50,1.46,4,99.18,100.0,True
trafo,7,269,295,50,1.46,4,99.18,100.0,True
trafo,8,273,274,50,0.46,3,99.18666666666667,100.0,True
trafo,9,266,276,50,0.48,3,99.18,100.0,True
trafo,10,275,277,50,1.44,4,99.18,100.0,True
trafo,11,275,278,50,1.44,4,99.18666666666667,100.0,True
trafo,12,271,296,50,1.4,4,99.19333333333334,100.0,True
trafo,13,271,297,50,1.4,4,99.18666666666667,100.0,True
trafo,14,267,279,50,1.46,4,99.18,100.0,True
trafo,15,267,280,50,1.44,4,99.18666666666667,100.0,True
trafo,16,267,281,50,1.42,4,99.19333333333334,100.0,True
trafo,17,268,287,50,1.44,4,99.18666666666667,100.0,True
trafo,18,268,288,50,1.46,4,99.18,100.0,True
trafo,19,268,289,50,1.44,4,99.18666666666667,100.0,True
trafo,20,267,282,50,1.46,4,99.18,100.0,True
trafo,21,267,283,50,1.46,4,99.18,100.0,True
trafo,22,267,284,50,1.46,4,99.18,100.0,True
trafo,23,267,285,50,1.44,4,99.18666666666667,100.0,True
trafo,24,267,286,50,1.44,4,99.18666666666667,100.0,True
trafo,25,293,299,50,0.48,3,99.19333333333334,100.0,True
trafo,26,27,26,50,0.46,3,99.51333333333334,100.0,True
trafo,27,35,34,50,0.46,3,99.51333333333334,100.0,True
trafo,28,105,104,50,-0.42,2,99.51333333333334,100.0,False
trafo,29,107,104,50,0.46,3,99.51333333333334,100.0,True
trafo,30,110,104,50,0.46,3,99.51333333333334,100.0,True
trafo,31,135,104,50,0.46,3,99.18666666666667,100.0,True
trafo,32,136,104,50,0.46,3,99.18,100.0,True
trafo,33,147,104,50,-0.4,2,99.51333333333334,100.0,False
trafo,34,111,149,50,0.52,3,99.20666666666666,100.0,True
trafo,35,126,156,50,0.46,3,99.51333333333334,100.0,True
trafo,36,126,157,50,0.44,3,99.51333333333334,100.0,True
trafo,37,168,218,50,-0.5,2,99.51333333333334,100.0,False
trafo,38,176,180,50,0.38,2,99.51333333333334,100.0,True
trafo,39,192,191,50,1.2,3,99.18666666666667,100.0,True
trafo,40,197,195,50,0.44,2,99.51333333333334,100.0,True
trafo,41,215,200,50,1.44,4,99.18666666666667,100.0,True
trafo,42,209,204,50,0.48,2,99.19333333333334,100.0,True
trafo,43,209,205,50,0.56,2,99.18666666666667,100.0,True
trafo,44,209,206,50,0.44,2,99.51333333333334,100.0,True
trafo,45,168,207,50,-0.5,2,99.51333333333334,100.0,False
trafo,46,209,210,50,-0.34,1,99.51333333333334,100.0,False
trafo,47,210,211,50,0.46,3,99.18,100.0,True
trafo,48,215,212,50,0.46,3,99.51333333333334,100.0,True
trafo,49,215,219,50,1.44,4,99.18,100.0,True
trafo,50,220,223,50,0.46,3,99.51333333333334,100.0,True
trafo,51,220,225,50,0.46,3,99.51333333333334,100.0,True
trafo,52,2,0,50,-0.22,2,99.51333333333334,100.0,False
trafo,53,2,1,50,-0.24,2,99.51333333333334,100.0,False
trafo,54,3,2,50,1.46,4,99.18,100.0,True
trafo,55,6,4,50,-0.24,2,99.50666666666666,100.0,False
trafo,56,6,5,50,-0.24,2,99.51333333333334,100.0,False
trafo,57,9,10,50,-0.2,3,99.51333333333334,100.0,False
trafo,58,11,9,50,0.58,3,99.49333333333334,100.0,True
trafo,59,14,16,50,0.46,3,99.51333333333334,100.0,True
trafo,60,15,14,50,0.48,3,99.50666666666666,100.0,True
trafo,61,19,18,50,0.46,3,99.51333333333334,100.0,True
trafo,62,22,21,50,0.48,3,99.51333333333334,100.0,True
trafo,63,29,28,50,0.48,3,99.18,100.0,True
trafo,64,38,37,50,0.48,3,99.50666666666666,100.0,True
trafo,65,39,38,50,0.46,3,99.51333333333334,100.0,True
trafo,66,53,52,50,0.5,3,99.51333333333334,100.0,True
trafo,67,55,54,50,0.46,3,99.51333333333334,100.0,True
trafo,68,61,60,50,0.46,3,99.51333333333334,100.0,True
trafo,69,67,72,50,0.46,3,99.51333333333334,100.0,True
trafo,70,69,80,50,0.48,3,99.51333333333334,100.0,True
trafo,71,70,82,50,0.46,3,99.51333333333334,100.0,True
trafo,72,71,77,50,0.46,3,99.51333333333334,100.0,True
trafo,73,92,185,50,1.36,4,99.18,100.0,True
